Code;Libellé;Potentiel de consommation équivalent: P40 2022;Taux d'aide sociale 2025;Potentiel de consommation équivalent: P20 2022;Potentiel de consommation équivalent: P60 2022;Potentiel de consommation équivalent: P80 2022;Potentiel de consommation équivalent: médiane 2022;Emplois EPT, tous secteurs 2023;Emplois EPT dans le secteur primaire 2023;Emplois EPT dans le secteur secondaire 2023;Emplois EPT dans le secteur tertiaire 2023
5828;Treytorrens;56300;2.86;45900;67600;93200;60700;14;9;N/A - secret statistique;4
5830;Villarzel;52300;0.57;37000;61900;80800;55400;90;37;17;36
5831;Valbroye;49900;3.06;38000;62100;78200;54900;1108;172;436;500
5841;Château-d'Oex;47200;0.58;36600;58800;80600;52000;1341;155;272;914
5842;Rossinière;49700;0.88;37900;59900;82800;55900;117;26;48;43
5843;Rougemont;52300;0.35;42400;66100;111800;59200;352;52;52;247
5851;Allaman;64200;1.49;50500;87800;127500;78400;287;36;27;224
5852;Bursinel;66100;0.97;49600;91000;147900;79100;62;13;6;43
5853;Bursins;70700;1.37;49700;92800;133500;80900;392;31;82;279
5854;Burtigny;61000;1.51;41800;73400;117100;67100;90;15;12;63
5855;Dully;91500;0.18;65200;130700;192000;111800;83;N/A - secret statistique;6;77
5856;Essertines-sur-Rolle;68200;0.59;49100;88000;122400;78000;67;23;7;36
5857;Gilly;80600;0.42;59100;103400;141600;92000;241;50;21;170
5858;Luins;71900;1.78;49200;99200;137500;82200;114;50;14;49
5859;Mont-sur-Rolle;70400;0.72;50200;92800;129300;80800;381;71;48;262
5860;Perroy;66500;0.9;46200;89500;136100;75900;362;47;118;197
5861;Rolle;60400;1.48;43300;83000;126100;70600;4060;70;524;3465
5862;Tartegnin;63900;0;47900;76600;127600;68700;48;40;N/A - secret statistique;8
5863;Vinzel;76300;0;55400;94000;130200;83400;110;38;5;68
5871;L'Abbaye;52600;2.47;39500;68100;87700;60500;511;12;295;204
5872;Le Chenit;49200;2.71;37800;62000;81000;55200;6166;64;4256;1847
5873;Le Lieu;50700;3.14;37700;65000;88800;57100;691;17;583;91
